Higher taxonomic group,Order,Family,Genus,Species,Sexual_system,Karyotype,Genotypic,Environmental
Amphibia,Anura,Bombinatoridae,Bombina,bombina,gonochorous,,,
Amphibia,Anura,Bombinatoridae,Bombina,orientalis,gonochorous,homomorphic,male heterogametic,
Amphibia,Anura,Bombinatoridae,Bombina,variegata,gonochorous,,,
Amphibia,Anura,Bufonidae,Bufo,baturae,gonochoristic|other,,,
Amphibia,Anura,Bufonidae,Bufo,bufo,gonochorous,homomorphic,female heterogametic,
Amphibia,Anura,Bufonidae,Bufo,calamita,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Bufo,gargarizans,gonochorous,homomorphic,female heterogametic,
Amphibia,Anura,Bufonidae,Bufo,marinus,gonochorous,homomorphic,female heterogametic,
Amphibia,Anura,Bufonidae,Bufo,melanostictus,gonochorous,homomorphic,male heterogametic,
Amphibia,Anura,Bufonidae,Bufo,raddei,gonochorous,homomorphic,male heterogametic,
Amphibia,Anura,Bufonidae,Bufo,siculus,gonochorous,homomorphic,male heterogametic,
Amphibia,Anura,Bufonidae,Bufo,viridis-1,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Bufo,viridis-2,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Bufo,viridis-3,gonochorous,ZW,female heterogametic,
Amphibia,Anura,Bufonidae,Bufo,viridis-4,gonochorous,XY,male heterogametic,
Amphibia,Anura,Bufonidae,Chaunus,ssp,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Melanophryniscus,stelzneri,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Rhinella,achalensis,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Rhinella,arenarum,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Rhinella,fernandezae,gonochorous,homomorphic,,
Amphibia,Anura,Bufonidae,Rhinella,schneideri,gonochorous,homomorphic,,
Amphibia,Anura,Centronelidae,Centrolenella,anthistenesi,gonochorous,XY,male heterogametic,
Amphibia,Anura,Cycloramphidae,Proceratophrys,boiei,gonochorous,ZW,female heterogametic,
Amphibia,Anura,Dendrobatidae,Adelphobates,castaneoticus,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Adelphobates,quinquevittatus,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Ameerega,galactonotus,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Ameerega,picta,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Epipedobates,femoralis,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Epipedobates,flavopictus,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Epipedobates,hahneli,gonochorous,homomorphic,,
Amphibia,Anura,Dendrobatidae,Epipedobates,trivittattus,gonochorous,homomorphic,,
Amphibia,Anura,Discoglossidae,Alytes,obstetricans,gonochorous,homomorphic,,
